,log2FoldChange,padj
29943,0.0510371534295274,0.989985621504612
51702,-1.89282270317163,NA
23569,0.0707520055091956,0.989411530844632
353238,-0.256565800689664,0.967339201809562
55920,-0.0829489571667558,0.967434493072402
55160,-0.199513697372728,0.72709686127648
107984028,-0.0680459358580724,NA
81569,-0.428171115200749,NA
84966,0.0163070650056451,0.993035194525668
105376814,-0.686528727748006,0.423255760576791
127707,0.172599424849924,0.970749385506948
5081,-0.0446919044800231,0.990708539176512
80834,-0.753224454512489,0.493617926369614
8659,0.0467322747354314,0.97879796052415
100616120,-0.701654547499081,NA
100302276,-1.01630014703459,NA
126917,0.012632841301669,0.989709406950056
105376815,0.178910800719602,NA
23352,0.0238488350118158,0.97863559374197
101927895,0.00619133828780842,0.997353185436543
23065,0.0557103726550903,0.976669709928021
51154,0.018386574605729,0.987795141874343
246181,-0.408207330833695,0.372073861118645
22977,-0.096777133243638,0.965201773020339
100506730,0.336121117051571,0.152003914810268
8574,0.171267118085326,0.730596394345138
54896,0.019938637753236,0.97863559374197
832,0.110940217853606,0.62960842475254
105376819,-0.327692061007495,0.869922341380622
105376818,-0.189245870834282,0.972282084862477
105376817,-0.0992548602932116,0.97952034286819
105378614,-0.556439526501493,NA
440574,0.229247150087097,0.24229963512279
100532736,-0.0960527195767333,0.955147285059353
644068,-0.0639142102256297,0.976018926206687
4681,-0.110134204364017,0.950399434199731
3362,0.25690158677086,0.862814934338035
255104,-0.195812167028325,0.951400167583595
105376823,-0.311420101607274,0.91191055547497
23252,-0.056224833322011,0.966444418890895
5320,0.437410804999856,0.950995392415113
5322,-0.00401240725325286,0.998573506780132
26279,-1.19570139631195,NA
64600,0.375664098754668,NA
391013,-0.533663518375619,0.708883536468409
127733,-0.0720374971750276,0.966417086586344
101928017,-0.0746070298177014,0.964996586259913
105376825,-0.0246294381521926,0.992466107428994
105376826,0.853780174231453,NA
127731,-0.193454160864671,0.956697104479198
339505,-1.3991776641971,0.069309642724698
55450,0.298481056075882,0.83455885971237
79594,0.230599447297827,0.323139332999482
